,GENUS,SPECIES,MINTEMP,MAXTEMP,MAXTL,MATUAGE,LONGEVITY,FECUNDITY
1,Agonostomus,monticola,20,31,36,NA,NA,320000
2,Agosia,chrysogaster,18,39.8,10,1,3,2500
3,Ambloplites,rupestris,-9.5,28.7,43,3,8,11000
4,Ameiurus,melas,-7.7,32,66,2.5,5.5,5495
5,Ameiurus,natalis,-4.3,31.8,47,2.5,7,7000
6,Ameiurus,nebulosus,-8.3,28.1,55,2.5,11,13000
7,Anguilla,rostrata,4,25,152,9.9,43,22000000
8,Aphredoderus,sayanus,-2.5,31.8,14,2,4,160
9,Awaous,banana,18,28,6,0.3,NA,40
10,Campostoma,anomalum,-7.9,31.6,22,2.5,5,4800
11,Catostomus,commersonii,0,29,64,3,8,50000
12,Chrosomus,erythrogaster,20.6,26.7,9.1,1,3,1020
13,Clinostomus,funduloides,-5,26.6,11,2,4,560
14,Cottus,bairdii,0,27,15,2,6,176
15,Cottus,caeruleomentum,NA,NA,8,NA,NA,NA
16,Cottus,carolinae,-2.8,32.1,18,2,5,475
17,Cottus,cognatus,4,16,12.1,3,7,1420
18,Cottus,girardi,-5.4,30.5,14,2,5,134
19,Culaea,inconstans,4,18,8.7,1,2.5,250
20,Cyprinella,lutrensis,-4.6,33.7,9,1.5,3,1200
21,Cyprinella,venusta,1.7,33.8,19,1,3.5,459
22,Elassoma,zonatum,1.2,33.1,4.7,1,2,970
23,Esox,americanus,-3.6,31,37.6,2.5,7,4584
24,Etheostoma,chlorosomum,0,33.7,6,1,3,500
25,Etheostoma,exile,-22.5,26.8,7.2,1,3.5,962
26,Etheostoma,flabellare,-8.2,29.4,8.4,1,4,467
27,Etheostoma,histrio,0.6,33.6,7.7,1,4.5,456
28,Etheostoma,microperca,-11.7,28.5,4.4,1,2,900
29,Etheostoma,nigrum,-17.2,26.6,7.2,1,4,600
30,Etheostoma,pseudovulatum,NA,NA,6.1,NA,NA,NA
31,Etheostoma,radiosum,-1.1,33.2,8.5,1,4,800
