"","siteID","rel_invasive_richness","rel_inv_abund","shannon.x","totalAbund","siteRichness"
"1","ARIK",0.1,24.2052250550834,2.30258509299405,3177,10
"2","BIGC",0.5,98.7321711568938,0.693147180559945,1262,2
"3","BLDE",1,100,0,728,1
"4","BLUE",0.0384615384615385,0.854700854700855,3.25809653802148,1521,26
"5","CARI",0.5,46.8085106382979,0.693147180559945,47,2
"6","CRAM",0,0,NA,3323,9
"7","CUPE",0.166666666666667,53.55587808418,1.79175946922805,689,6
"8","GUIL",1,100,1.09861228866811,2366,3
"9","HOPB",0.3,2.13540402814851,2.30258509299405,4121,10
"10","KING",0.0666666666666667,2.25535880708295,2.70805020110221,5365,15
"11","LECO",0.25,20.1286764705882,1.38629436111989,4352,4
"12","LEWI",0.333333333333333,0.765756921264481,2.19722457733622,5093,9
"13","LIRO",0,0,NA,1523,5
"14","MART",0,0,NA,854,1
"15","MAYF",0.024390243902439,0.056369785794814,3.71357206670431,3548,41
"16","MCDI",0.0526315789473684,0.147188695908154,2.94443897916644,3397,19
"17","MCRA",0,0,NA,923,1
"18","OKSR",1,100,0,100,1
"19","POSE",0,0,NA,5586,5
"20","PRIN",0.125,0.325581395348837,2.77258872223978,4300,16
"21","PRLA",0,0,NA,4346,2
"22","PRPO",0,0,NA,5677,3
"23","REDB",0,0,NA,453,1
"24","SYCA",0.5,21.6867469879518,0.693147180559945,332,2
"25","TECR",1,100,0,697,1
"26","TOOK",0.2,51.5702479338843,1.6094379124341,605,5
"27","WALK",0,0,NA,4349,6
"28","WLOU",1,100,0,678,1
