"year","siteID","nitrateMean","nitrateSD","nitrateMin","nitrateMax","nitrateCV","siteMean"
2016,"ARIK",10.6153846153846,0.122557100630603,10.3,10.8,0.0115452341173756,6.89353670367365
2017,"ARIK",8.29581823671498,3.45309047856065,-0.9,25.4,0.416244712700941,6.89353670367365
2018,"ARIK",5.28812729498164,3.19175996110327,-0.9,14.1,0.603570939779042,6.89353670367365
2019,"ARIK",5.29887938793879,2.05610405649092,-0.7,17.7,0.38802620440295,6.89353670367365
2020,"ARIK",5.84273265025879,1.79738618728762,-0.3,18,0.30762766241033,6.89353670367365
2021,"ARIK",7.13389950075971,4.27670432328127,-0.1,59.5,0.599490408131742,6.89353670367365
2022,"ARIK",5.77991523967699,1.98182096420614,1.2,30.1,0.342880627487694,6.89353670367365
2018,"BARC",5.4944508838018,2.86709460668395,-0.6,9,0.521816404826994,2.78681248877457
2019,"BARC",1.90395774284978,0.809051174905018,-0.5,11.6,0.424931266433496,2.78681248877457
2020,"BARC",3.45715124949162,1.20520778127249,1.1,9,0.348612974757677,2.78681248877457
2021,"BARC",1.45736338755804,0.742408829133442,-0.9,7.5,0.509419157549595,2.78681248877457
2022,"BARC",1.62113918017159,0.469126671051015,-0.8,6.9,0.289380872900351,2.78681248877457
2019,"BIGC",3.76246890698922,1.32166333184054,-0.9,13,0.351275549250493,2.60650199897274
2020,"BIGC",1.81225121219118,1.07791887668354,-0.9,12.3,0.594795505960919,2.60650199897274
2021,"BIGC",2.24478587773782,4.21206196628753,-0.9,96.1,1.8763758307907,2.60650199897274
2018,"BLDE",6.04514613778706,2.91362227454987,-0.1,10.4,0.481977144661132,6.88964095965316
2019,"BLDE",7.87874163319946,3.52246378177704,-0.8,14.1,0.447084565755282,6.88964095965316
2020,"BLDE",7.89284188984785,3.95976628090914,0.3,17,0.501690815066546,6.88964095965316
2021,"BLDE",7.63663244773371,5.00902740001788,-1,25,0.655920974893114,6.88964095965316
2022,"BLDE",4.99484268969772,2.72586339475123,-0.9,20.1,0.545735584500699,6.88964095965316
2018,"BLUE",27.9924326575951,5.41971842534315,-0.9,41.2,0.193613698803438,32.1306657457442
2019,"BLUE",28.4129669124368,6.65534547859307,-0.9,41.8,0.234236202755719,32.1306657457442
2020,"BLUE",31.5138347788995,6.6029114122294,12.6,44.1,0.209524212415129,32.1306657457442
2021,"BLUE",35.1503086295235,4.61338091993559,19.5,53.5,0.131247237927826,32.1306657457442
2022,"BLUE",37.5837857502659,4.75041811031,1.1,52.9,0.126395412688739,32.1306657457442
2018,"BLWA",22.0981561396626,17.3766226749976,2.6,85.7,0.786338125460584,28.5539708555013
2019,"BLWA",24.4015355761341,16.259018130282,-0.2,52.3,0.666311268795072,28.5539708555013
2020,"BLWA",45.6233429394813,4.39086049020922,37.8,50.9,0.0962415335507886,28.5539708555013
2021,"BLWA",27.2842306786051,7.47574303566914,12.9,46,0.273995009195229,28.5539708555013
2022,"BLWA",23.3625889436234,12.1066992129143,4.1,50.1,0.518208801350274,28.5539708555013
2017,"CARI",31.9691964285714,2.48252127879839,27.6,36.8,0.0776535401615449,28.5559188102709
2018,"CARI",28.8847607559308,4.11216982340973,19.9,37.4,0.142364683514486,28.5559188102709
2019,"CARI",27.3772980071064,4.22164078277009,18.5,35.6,0.154202243832619,28.5559188102709
2020,"CARI",26.8678520625889,1.47698098941334,19.7,37.5,0.0549720530682058,28.5559188102709
2021,"CARI",30.1165900572802,3.9232207561279,17.3,38.8,0.130267761013651,28.5559188102709
2022,"CARI",26.1198155501473,3.64927322170882,17.5,32.3,0.13971282510409,28.5559188102709
2017,"COMO",1.73032882011605,1.63942169173565,-0.9,10.1,0.94746251271807,5.2087847501188
